issue_url,title,lead_mode,numeric_amount,score,prev_score,escrow_verified,is_dead_repo,checked_at,vibe_score,vibe_reason,merges_last_45d,escrows_seen,rugs_seen,total_escrows_seen
https://github.com/HHS/simpler-grants-gov/issues/10068,Add Bounty Program section to CONTRIBUTING.md,opportunistic,600.0,63.65,63.65,0,0,1778012191.6506698,,,200,0,0,0
https://github.com/stashapp/stash/issues/13,[Feature] Scene upload from UI,opportunistic,50.0,57.35,57.35,0,0,1778012188.7589457,,,60,0,0,0
https://github.com/tykimos/ai-whatchelin/issues/15,"Bug: Veo 'Free' column shows 'O ($7.99)' which is a paid price, not free",opportunistic,7.99,21.28,21.28,0,0,1778012168.8801072,,,0,0,0,0
https://github.com/anthropics/claude-code/issues/45110,[BUG] Claude Pro subscription paid but account shows Free Plan — Invoice LF31MC1L-0002,opportunistic,23.6,31.45,31.45,0,0,1778012162.4783132,,,5,0,0,0
https://github.com/commaai/agnos-builder/issues/259,Speedup system build time,opportunistic,600.0,48.24,48.24,0,0,1778012162.2089288,,,29,0,0,0
https://github.com/conversejs/converse.js/issues/2481,"👷‍♂️  Good first issues, Bounties 💰  & Help wanted 👷‍♀️ ",opportunistic,100.0,35.25,35.25,0,0,1778012158.8138258,,,11,0,0,0
https://github.com/LennyMalcolm0/bitcoin/issues/53,Improve transaction processing efficiency and reduce transaction fees. ($550),opportunistic,550.0,31.93,31.93,0,0,1778012156.8375611,,,3,0,0,0
https://github.com/stefanoviana/deepalpha/issues/20,[bounty] Build a Telegram signals channel bot — Free Lifetime access,opportunistic,199.0,42.03,42.03,0,0,1778012156.7210116,,,1,0,0,0
https://github.com/anthropics/claude-code/issues/51294,[BUG] MAX Plan Paid. Access to IP Cut Off,opportunistic,214.0,30.64,30.64,0,0,1778012154.695374,,,5,0,0,0
https://github.com/anthropics/claude-code/issues/51002,"[BUG] Desktop app Google Drive connector flow routes to signup page, creates duplicate account under same email and locks paid Max subscriber",opportunistic,440.0,42.81,42.81,0,0,1778012153.1300416,,,5,0,0,0
https://github.com/NousResearch/hermes-agent/issues/14435,"[Bug]: Paid Scale-tier subscriber — tool_gateway_admin: false, every Tool Gateway call rejected with AUTH_ERROR",opportunistic,50.0,53.14,53.14,0,0,1778012148.9974034,,,200,0,0,0
https://github.com/anthropics/claude-code/issues/41084,"[BUG] claude code - Usage Limits Show 0% Daily But 41% Weekly, Rate Limited Despite No Activity — Phantom Usage Consuming Paid Max 20x Quota",opportunistic,200.0,33.97,33.97,0,0,1778012144.669794,,,5,0,0,0
https://github.com/ppppowers/volunteerflow-project/issues/21,bug(billing): Cancelled subscriptions retain paid plan access indefinitely — concrete evidence from FC test cleanup,opportunistic,49.5,45.67,45.67,0,0,1778012143.1032548,,,10,0,0,0
https://github.com/TeamNewPipe/NewPipe/issues/4081,personalize sidebar,opportunistic,30.0,45.48,45.48,0,0,1778012136.6223936,,,20,0,0,0
https://github.com/Tesis-Stellar/stellar-tickets/issues/18,[BUG] Prevent checkout from issuing paid tickets without proper validation,opportunistic,60.0,57.28,57.28,0,0,1778012135.6296701,,,23,0,0,0
https://github.com/MetaMask/metamask-extension/issues/41839,[Bug]: Intermittent Insufficient funds alert when sending token with network fee paid in different token than native,opportunistic,60.0,57.76,57.76,0,0,1778012135.4155295,,,200,0,0,0
https://github.com/airswap/airswap-aips/issues/71,AIP 70: Rewards distribution on BSC Pools,opportunistic,45.0,37.48,37.48,0,1,1778012132.3728304,,,0,0,0,0
https://github.com/stefanoviana/deepalpha/issues/22,[bounty] Write a Medium article about DeepAlpha - Free Pro access,opportunistic,39.0,37.39,37.39,0,0,1778012115.7383428,,,1,0,0,0
https://github.com/subzeroid/instagrapi/issues/1851,[BUG] is_paid_partnership field not being used when creating Story through photo_upload_to_story,opportunistic,0.0,27.5,27.5,0,0,1778012114.2269473,,,27,0,0,0
https://github.com/stashapp/stash/issues/1659,Add a Manga/Doujin section,opportunistic,20.0,54.62,54.62,0,0,1778012113.5116715,,,60,0,0,0
https://github.com/stashapp/stash/issues/684,Non-privileged user in Docker build,opportunistic,20.0,55.41,55.41,0,0,1778012112.6106925,,,60,0,0,0
https://github.com/Monkestation/Vanderlin/issues/6392,crossbows can&#39;t be sold on the merchant&#39;s boat despite bounties spawning for it,opportunistic,0.0,47.49,47.49,0,0,1778012106.5377347,,,147,0,0,0
https://github.com/graphql-dotnet/graphql-dotnet/issues/1025,Looking for a demo using Schema-First approach,opportunistic,100.0,52.11,52.11,0,0,1778012097.29821,,,14,0,0,0
https://github.com/MorkeethHQ/delegated-agent-treasury/issues/2,Evaluate: Lido MCP server as thin wrapper (K bounty),opportunistic,5000.0,36.52,36.52,0,0,1778012091.8962824,,,0,0,0,0
https://github.com/akoita/resonate/issues/404,Epic: Content Protection Architecture — Decentralized IP Verification,strict,0.01,43.78,43.78,1,0,1778011895.837066,,,200,1,0,1
https://github.com/QuantumSavory/QuantumSavory.jl/issues/131,More thorough benchmarks [$200],strict,200.0,50.35,50.35,1,0,1778011851.472163,,,18,1,0,1
https://github.com/FredMunene/topizzy/issues/20,Feature: Recurring Airtime Subscriptions — Gift Loved Ones,strict,1.74,32.06,32.06,1,0,1778011809.3412788,,,4,1,0,1
https://github.com/prova-network/prova/issues/6,Sponsored onboarding fund: pay registration gas for new provers/agents (tracking),strict,10.0,38.7,38.7,1,0,1778011804.563345,,,0,1,0,1
https://github.com/lambdasistemi/cardano-ledger-inspector/issues/58,explain.md: feature parity with mainstream tx inspectors (Cardanoscan / Cexplorer / Pool.pm / Etherscan / Solscan / Mempool.space / Starkscan),strict,1234.0,63.08,63.08,1,0,1778011746.3077266,,,38,1,0,1
https://github.com/SkateHive/monorepo/issues/1,🤝 POIDH Bounties Integration - Display POIDH Bounties on SkateHive Bounties Page,strict,0.23,21.58,21.58,1,0,1778011730.0585434,,,1,1,0,1
https://github.com/entrius/gittensor-ui/issues/949,⚡ Watchlist Page: Bounties tab has no filter sidebar inconsistently,opportunistic,0.0,47.48,47.48,0,0,1778009436.073002,,,200,0,0,0
https://github.com/hummingbot/hummingbot/issues/8159,Bounty - Add Lighter Spot and Perpetual Connectors,opportunistic,3000.0,68.32,68.32,0,0,1778009406.8529058,,,24,0,0,0
https://github.com/space-wizards/space-station-14/issues/33033,bounty arbitrage test is nearly useless ,opportunistic,960.0,65.35,65.35,0,0,1778009405.9051354,,,193,0,0,0
